State,Year,Quarter,Brand,Transaction_count,Percentage,Region
Arunachal Pradesh,2019,2,Motorola,1404,0.014642541,North-Eastern Region
Arunachal Pradesh,2019,2,OnePlus,1251,0.013046879,North-Eastern Region
Arunachal Pradesh,2019,2,Huawei,1175,0.012254263,North-Eastern Region
Arunachal Pradesh,2019,2,Others,7172,0.074797935,North-Eastern Region
Arunachal Pradesh,2019,3,Xiaomi,27394,0.244264327,North-Eastern Region
Arunachal Pradesh,2019,3,Vivo,22731,0.202685713,North-Eastern Region
Arunachal Pradesh,2019,3,Samsung,22720,0.202587629,North-Eastern Region
Arunachal Pradesh,2019,3,Oppo,16262,0.145003522,North-Eastern Region
Arunachal Pradesh,2019,3,Realme,6477,0.057753524,North-Eastern Region
Arunachal Pradesh,2019,3,Apple,2509,0.022372023,North-Eastern Region
Arunachal Pradesh,2019,3,Gionee,1800,0.016050076,North-Eastern Region
Arunachal Pradesh,2019,3,Motorola,1561,0.013918983,North-Eastern Region
Arunachal Pradesh,2019,3,OnePlus,1390,0.012394226,North-Eastern Region
Arunachal Pradesh,2019,3,Huawei,1377,0.012278308,North-Eastern Region
Arunachal Pradesh,2019,3,Others,7928,0.070691669,North-Eastern Region
Arunachal Pradesh,2019,4,Xiaomi,31369,0.242566946,North-Eastern Region
Arunachal Pradesh,2019,4,Vivo,26787,0.207135732,North-Eastern Region
Arunachal Pradesh,2019,4,Samsung,26087,0.201722845,North-Eastern Region
Arunachal Pradesh,2019,4,Oppo,19208,0.148529628,North-Eastern Region
Arunachal Pradesh,2019,4,Realme,7743,0.059874266,North-Eastern Region
Arunachal Pradesh,2019,4,Apple,2811,0.021736609,North-Eastern Region
Arunachal Pradesh,2019,4,Gionee,1983,0.015333936,North-Eastern Region
Arunachal Pradesh,2019,4,Motorola,1637,0.012658424,North-Eastern Region
Arunachal Pradesh,2019,4,Huawei,1581,0.012225393,North-Eastern Region
Arunachal Pradesh,2019,4,OnePlus,1535,0.011869689,North-Eastern Region
Arunachal Pradesh,2019,4,Others,8580,0.066346533,North-Eastern Region
Arunachal Pradesh,2020,1,Xiaomi,35625,0.238988099,North-Eastern Region
Arunachal Pradesh,2020,1,Vivo,31742,0.212939235,North-Eastern Region
Arunachal Pradesh,2020,1,Samsung,29807,0.199958408,North-Eastern Region
Arunachal Pradesh,2020,1,Oppo,22566,0.151382609,North-Eastern Region
Arunachal Pradesh,2020,1,Realme,9351,0.062730603,North-Eastern Region
Arunachal Pradesh,2020,1,Apple,3135,0.021030953,North-Eastern Region
Arunachal Pradesh,2020,1,Gionee,2068,0.01387305,North-Eastern Region
Arunachal Pradesh,2020,1,Huawei,1768,0.011860518,North-Eastern Region
Arunachal Pradesh,2020,1,Motorola,1742,0.011686099,North-Eastern Region
Arunachal Pradesh,2020,1,OnePlus,1696,0.011377511,North-Eastern Region
Arunachal Pradesh,2020,1,Others,9566,0.064172917,North-Eastern Region
Arunachal Pradesh,2020,2,Xiaomi,41662,0.234670542,North-Eastern Region
Arunachal Pradesh,2020,2,Vivo,39089,0.220177543,North-Eastern Region
Arunachal Pradesh,2020,2,Samsung,34984,0.197055212,North-Eastern Region
Arunachal Pradesh,2020,2,Oppo,27629,0.155626528,North-Eastern Region
Arunachal Pradesh,2020,2,Realme,11596,0.065317066,North-Eastern Region
Arunachal Pradesh,2020,2,Apple,3398,0.019139996,North-Eastern Region
Arunachal Pradesh,2020,2,Gionee,2355,0.013265065,North-Eastern Region
Arunachal Pradesh,2020,2,Huawei,2019,0.011372469,North-Eastern Region
Arunachal Pradesh,2020,2,Motorola,1873,0.010550092,North-Eastern Region
Arunachal Pradesh,2020,2,OnePlus,1809,0.010189597,North-Eastern Region
Arunachal Pradesh,2020,2,Others,11120,0.062635889,North-Eastern Region
Arunachal Pradesh,2020,3,Xiaomi,47870,0.232326762,North-Eastern Region
Arunachal Pradesh,2020,3,Vivo,46799,0.227128894,North-Eastern Region
Arunachal Pradesh,2020,3,Samsung,40403,0.196087281,North-Eastern Region
Arunachal Pradesh,2020,3,Oppo,32287,0.156698019,North-Eastern Region
Arunachal Pradesh,2020,3,Realme,13982,0.067858634,North-Eastern Region
Arunachal Pradesh,2020,3,Apple,3738,0.01814158,North-Eastern Region
Arunachal Pradesh,2020,3,Gionee,2514,0.012201159,North-Eastern Region
Arunachal Pradesh,2020,3,Huawei,2276,0.011046077,North-Eastern Region
Arunachal Pradesh,2020,3,Motorola,1997,0.009692011,North-Eastern Region
Arunachal Pradesh,2020,3,OnePlus,1965,0.009536705,North-Eastern Region
Arunachal Pradesh,2020,3,Others,12215,0.059282879,North-Eastern Region
Arunachal Pradesh,2020,4,Vivo,53198,0.230003632,North-Eastern Region
Arunachal Pradesh,2020,4,Xiaomi,53097,0.229566954,North-Eastern Region
Arunachal Pradesh,2020,4,Samsung,45317,0.19592982,North-Eastern Region
Arunachal Pradesh,2020,4,Oppo,36466,0.157662176,North-Eastern Region
Arunachal Pradesh,2020,4,Realme,16419,0.070988188,North-Eastern Region
Arunachal Pradesh,2020,4,Apple,4188,0.018106982,North-Eastern Region
Arunachal Pradesh,2020,4,Gionee,2611,0.011288761,North-Eastern Region
Arunachal Pradesh,2020,4,Huawei,2424,0.010480259,North-Eastern Region
Arunachal Pradesh,2020,4,Motorola,2149,0.009291285,North-Eastern Region
Arunachal Pradesh,2020,4,OnePlus,2141,0.009256697,North-Eastern Region
Arunachal Pradesh,2020,4,Others,13282,0.057425246,North-Eastern Region
Arunachal Pradesh,2021,1,Vivo,58748,0.233832192,North-Eastern Region
Arunachal Pradesh,2021,1,Xiaomi,57405,0.228486706,North-Eastern Region
Arunachal Pradesh,2021,1,Samsung,48405,0.192664385,North-Eastern Region
Arunachal Pradesh,2021,1,Oppo,39602,0.157626174,North-Eastern Region
Arunachal Pradesh,2021,1,Realme,18658,0.074263652,North-Eastern Region
Arunachal Pradesh,2021,1,Apple,4560,0.018149976,North-Eastern Region
Arunachal Pradesh,2021,1,Gionee,2611,0.010392453,North-Eastern Region
Arunachal Pradesh,2021,1,Huawei,2526,0.010054132,North-Eastern Region
Arunachal Pradesh,2021,1,OnePlus,2342,0.009321764,North-Eastern Region
